,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
2694,35.35747531,71.83161227,5.213473511,3809.242599,109.83032779999999,186.92147219999998,93.94871411,-8.580126175,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2697,38.30824153,77.48408881,5.13453186,4416.250313000001,108.6563922,178.1681124,86.80766572,16.71352408,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2701,8.567933641,8.4828544,1.43501709,1400.248708,109.9343122,173.83026769999995,98.30342023,-3.856389838,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2716,23.19730209,42.99380975,4.3913909910000015,3003.395135,109.9999186,354.09045660000015,95.96860599,5.484539275,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2724,29.39597112,52.78458151,4.401453247,3629.465678,104.2753584,301.1237519,89.95409299,25.30866403,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2728,19.85897272,20.57095467,2.404690552,4250.322811,97.16685745,179.1645921,70.16325479,32.16047332,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2730,35.13161607,19.61369742,2.721105347,4361.490042,67.60439225,129.535,52.27589545,53.99076778,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2740,34.22951447,51.40620728,3.7993218989999997,3933.0852619999996,107.57489840000002,219.28255099999998,65.68222773,11.99243057,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2760,36.35220031,71.69598692,4.637246704,3961.4757,103.73499670000001,150.2350052,84.19892071,-26.08180195,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2762,26.28248922,34.94311935,3.2114086910000004,1512.142497,108.31864180000001,219.9420517,68.94107559,13.03067858,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2773,11.70329263,16.93507842,2.198766479,927.3571978,108.31878940000001,245.9258796,101.3561217,13.800541,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
